tourney_id,tourney_name,tourney_level,surface,best_of,num_match
0096,Tokyo Olympics,A,Hard,3,64
0301,Auckland,A,Hard,3,27
0308,Munich,A,Clay,3,27
0311,Queen's Club,A,Grass,3,31
0314,Gstaad,A,Clay,3,27
0315,Newport,A,Grass,3,27
0316,Bastad,A,Clay,3,27
0319,Kitzbuhel,A,Clay,3,27
0321,Stuttgart,A,Grass,3,27
0322,Geneva,A,Clay,3,27
0328,Basel,A,Hard,3,31
0329,Tokyo,A,Hard,3,31
0336,Hong Kong,A,Hard,3,27
0337,Vienna,A,Hard,3,31
0339,Brisbane,A,Hard,3,31
0341,Metz,A,Hard,3,27
0352,Paris Masters,M,Hard,3,55
0360,Marrakech,A,Clay,3,27
0375,Montpellier,A,Hard,3,27
0402,Memphis,A,Hard,3,27
0403,Miami Masters,M,Hard,3,95
0404,Indian Wells Masters,M,Hard,3,95
0407,Rotterdam,A,Hard,3,31
0410,Monte Carlo Masters,M,Clay,3,55
0414,Hamburg,A,Clay,3,31
0416,Rome Masters,M,Clay,3,95
0418,Washington,A,Hard,3,47
0421,Canada Masters,M,Hard,3,55
0422,Cincinnati Masters,M,Hard,3,55
0424,Dallas,A,Hard,3,27
0425,Barcelona,A,Clay,3,47
0429,Stockholm,A,Hard,3,27
0438,Moscow,A,Hard,3,27
0439,Umag,A,Clay,3,27
0440,s Hertogenbosch,A,Grass,3,27
0451,Doha,A,Hard,3,27
0495,Dubai,A,Hard,3,31
0496,Marseille,A,Hard,3,27
0499,Delray Beach,A,Hard,3,27
0500,Halle,A,Grass,3,31
0506,Buenos Aires,A,Clay,3,27
0533,Sao Paulo,A,Clay,3,27
0568,St. Petersburg,A,Hard,3,27
0605,Tour Finals,A,Hard,3,15
0717,Houston,A,Clay,3,27
0741,Eastbourne,A,Grass,3,27
0747,Beijing,A,Hard,3,31
0773,Bucharest,A,Clay,3,27
0807,Acapulco,A,Hard,3,31
0891,Pune,A,Hard,3,27
1506,Birmingham WCT,A,Carpet,3,31
1536,Madrid Masters,M,Clay,3,95
1537,Tempe,A,Hard,3,31
1602,San Antonio WCT,A,Hard,3,31
1603,St. Petersburg WCT,A,Hard,3,31
1720,Bangkok,A,Hard,3,27
1725,Pepsi Grand Slam,A,Clay,3,3
1727,Louisville,A,Hard,3,63
1728,Lafayette,A,Carpet,3,31
1729,Bombay,A,Clay,3,31
2006,Los Angeles,A,Hard,3,63
2008,Helsinki,A,Carpet,3,31
2009,Murcia,A,Clay,5,1
201,Maceio,A,Clay,3,31
2010,Paris,A,Clay,5,3
2011,Tehran,A,Clay,5,1
2012,Oviedo,A,Hard,3,47
2013,Adelaide,A,Grass,5,1
2014,Bermuda,A,Clay,3,31
2015,Madrid,A,Clay,5,1
2016,London,A,Carpet,3,31
2017,Bangalore,A,Clay,3,31
2018,Hempstead WCT,A,Hard,3,31
2019,Ocean City,A,Hard,3,15
2020,Laguna Niguel,A,Hard,3,23
2022,Roanoke,A,Hard,3,7
2023,Fairfield,A,Carpet,3,29
2026,Madrid,A,Clay,5,1
2028,Aviles,A,Clay,5,1
2029,Dublin,A,Hard,3,31
2030,Merion,A,Grass,5,1
2034,Palm Desert WCT,A,Hard,3,31
2036,Omaha,A,Hard,3,24
2037,Paramus,A,Hard,3,7
2039,Salt Lake City,A,Hard,3,23
204,Vina del Mar,A,Clay,3,31
2040,Washington,A,Carpet,3,11
2042,Aptos,A,Hard,3,31
2047,Jacksonville,A,Hard,3,15
2048,Vancouver,A,Carpet,5,1
2049,Eastbourne,A,Grass,3,31
205,Lagos,A,Clay,5,1
2050,Newport,A,Grass,3,62
2051,Tanglewood,A,Hard,3,61
2054,Essen WCT,A,Carpet,5,1
2056,Rome WCT,A,Carpet,5,1
2058,New York,A,Carpet,3,14
206,Cairo,A,Clay,3,31
2061,Des Moines,A,Hard,5,1
2064,London Indoor,A,Hard,5,1
2065,Catania,A,Clay,5,3
2066,Macon,A,Carpet,3,19
2067,Phoenix,A,Hard,3,30
208,Vienna,A,Clay,3,31
215,Buzios,A,Hard,3,31
224,Schenectady,A,Hard,3,31
2276,Zagreb,A,Hard,3,27
237,Guaruja,A,Hard,3,31
240,Sao Paulo,A,Clay,3,31
243,Perth,A,Grass,3,63
254,Johannesburg,A,Hard,3,31
260,Durban,A,Hard,5,7
262,London WCT,A,Hard,3,15
267,Barcelona WCT,A,Clay,3,15
273,Brussels,A,Clay,3,31
275,Sao Paulo,A,Carpet,3,31
277,Berlin,A,Clay,5,3
278,Barcelona,A,Clay,5,1
280,Guadalajara,A,Clay,3,31
2805,Florence,A,Hard,3,27
2807,Gijon,A,Hard,3,27
2809,Naples,A,Hard,3,27
2841,Banja Luka,A,Clay,3,27
2843,Adelaide 1,A,Hard,3,31
294,Mexico City,A,Clay,3,31
295,Mexico City,A,Clay,3,31
301,Auckland,A,Hard,3,27
302,Toronto Indoor,A,Carpet,3,55
303,Buenos Aires,A,Clay,3,31
304,Nancy,A,Hard,3,31
305,Nice,A,Clay,3,31
